avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
V sierdtsie Ziemli - Edghar Rais Bierrouz.txt:14.58065|5.2008|2.30919|0.24378|0.17351|0.1072|0.0954|0.07817|9.77664|24.46221
Viechnyi dikar_ - Edghar Rais Bierrouz.txt:12.90365|5.2005|2.30765|0.26079|0.18|0.0865|0.08999|0.07583|9.71841|23.66886
Vielikii um Marsa - Edghar Rais Bierrouz.txt:14.17617|5.12742|2.26778|0.25238|0.17588|0.12129|0.09372|0.0815|9.55539|23.4884
Vladyka Marsa - Edghar Rais Bierrouz.txt:14.39405|5.15072|2.27924|0.25998|0.17348|0.10524|0.10218|0.0758|9.63469|23.46332
Vnie biezdny vriemieni - Edghar Rais Bierrouz.txt:12.89068|5.30746|2.33014|0.2682|0.17401|0.08413|0.09783|0.07727|9.72472|24.75766
Vozvrashchieniie v dzhunghli - Edghar Rais Bierrouz.txt:14.71694|5.37068|2.34366|0.2955|0.17824|0.06584|0.09485|0.07936|10.16143|24.99754
Za samoi daliekoi zviezdoi - Edghar Rais Bierrouz.txt:12.21599|5.22637|2.32304|0.23062|0.17676|0.12411|0.08534|0.07318|9.66171|23.71776
Zakorienielyi priestupnik - Edghar Rais Bierrouz.txt:10.40651|5.11504|2.25028|0.25844|0.19021|0.11432|0.07789|0.07459|9.59306|23.46033
Zatieriannyie na Vienierie - Edghar Bierrouz.txt:10.79888|5.06145|2.24558|0.2233|0.19386|0.13829|0.08592|0.07706|9.52215|22.61548
Ziemlia potieriannykh liudiei - Edghar Rais Bierrouz.txt:12.96061|5.12974|2.25078|0.25782|0.18749|0.11277|0.08561|0.09123|9.53403|23.07545
Ziemlia uzhasa - Edghar Rais Bierrouz.txt:12.19587|4.88001|2.16963|0.21458|0.20153|0.15156|0.07259|0.08106|9.18427|21.55173
Ziemlia, pozabytaia vriemieniem - Edghar Rais Bierrouz.txt:14.31844|5.21939|2.30976|0.25507|0.17212|0.10023|0.09458|0.07868|9.98881|24.08588
Marsianin - Endi Vieiier.txt:8.11319|5.52913|2.41791|0.28616|0.1894|0.0972|0.09371|0.06337|10.09735|24.12933
Golodnyie ighry - S_iuzien Kollinz.txt:8.78988|4.95728|2.21046|0.22921|0.19105|0.11891|0.08255|0.07692|9.8611|24.38332
I vspykhniet plamia - Siuzien Kollinz.txt:8.89459|5.20567|2.31411|0.24932|0.18939|0.09505|0.09098|0.07308|10.22242|25.59043
Soika-pieriesmieshnitsa - S_iuzien Kollinz.txt:8.73579|5.16515|2.29885|0.2464|0.19127|0.12184|0.08378|0.07175|9.96151|24.62157
Ekstriennyi sluchai - Maikl Kraiton.txt:7.6381|5.22712|2.30054|0.25361|0.19532|0.11627|0.08482|0.07647|10.13242|24.79968
Gosudarstvo strakha - Maikl Kraiton.txt:7.9356|5.37668|2.36449|0.26754|0.18331|0.09203|0.09123|0.07123|10.26815|23.72295
Kongho - Maikl Kraiton.txt:11.7533|5.77438|2.56571|0.31543|0.16687|0.05753|0.11327|0.06365|10.39715|25.26143
Kryl_ia - Maikl Kraiton.txt:7.84744|5.72151|2.51732|0.32278|0.19507|0.08483|0.0888|0.05417|10.32403|24.40331
Opasnyi patsiient - Maikl Kraiton.txt:7.95908|5.59904|2.47466|0.28893|0.18429|0.09885|0.09859|0.06462|10.02267|24.75271
Park iurskogho pierioda - Maikl Kraiton.txt:8.40162|5.50113|2.39401|0.28526|0.19661|0.0884|0.09006|0.06907|10.27082|24.52163
Piratskiie shiroty - Maikl Kraiton.txt:8.66809|5.43353|2.35401|0.29952|0.19209|0.07681|0.09106|0.06933|10.21664|25.39443
Pozhiratieli miertvykh (13-i voin) - Maikl Kraiton.txt:18.0055|5.36977|2.39781|0.27625|0.14824|0.08594|0.10863|0.0819|9.97132|24.30625
Razoblachieniie - Maikl Kraiton.txt:8.94401|5.28059|2.31748|0.24798|0.19806|0.12222|0.07669|0.07508|9.78936|22.45921
