avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
Nakoniets-to pravdivaia istoriia Frankienshtieina - Garri Garrison.txt:10.56219|5.4715|2.35479|0.27602|0.16722|0.09468|0.10787|0.07725|8.7441|22.39269
Ni voiny, ni zvukov boia - Garri Garrison.txt:10.20775|5.52111|2.41223|0.28797|0.18834|0.0805|0.10328|0.06516|9.39558|24.51659
Niemoi Milton - Garri Garrison.txt:9.2428|5.39181|2.34787|0.27293|0.18967|0.09484|0.09617|0.07035|8.85449|22.88397
Nieukrotimaia planieta - Garri Garrison.txt:9.52511|5.2328|2.28711|0.25451|0.19943|0.10164|0.08442|0.07476|9.96878|25.45571
Novyie prikliuchieniia Stal_noi Krysy - Garri Garrison.txt:8.54517|5.48378|2.401|0.26284|0.18614|0.10164|0.10548|0.07016|10.45301|26.51362
Obychnaia istoriia - Garri Garrison.txt:10.40114|5.62324|2.41636|0.28865|0.19644|0.08019|0.08959|0.06785|10.21498|26.73382
Odin shagh ot ziemli - Garri Garrison.txt:10.90554|5.50209|2.41668|0.26867|0.18743|0.08079|0.09991|0.0802|9.52918|24.95236
Opravdaniie - Garri Garrison.txt:13.57522|5.39374|2.38778|0.23186|0.18861|0.11452|0.10235|0.08192|9.13832|23.80776
Ot kazhdogho po sposobnostiam - Garri Garrison.txt:11.67602|5.14573|2.22436|0.22395|0.19205|0.10618|0.08346|0.08106|8.91006|23.36042
Otvierzhiennyi - Garri Garrison.txt:10.05091|5.39219|2.36361|0.274|0.19151|0.10866|0.08792|0.06681|9.34177|24.31646
Padaiushchaia Zviezda - Garri Garrison.txt:9.26981|5.48517|2.38363|0.27137|0.18854|0.09326|0.09391|0.06859|10.21724|25.3488
Parni iz S.V.I.N. i R.O.B.O.T. - Garri Garrison.txt:9.71858|5.36332|2.34797|0.26516|0.19957|0.099|0.0913|0.07676|9.88431|25.87689
Planieta, s kotoroi nie vozvrashchaiutsia - Garri Garrison.txt:8.45505|5.34269|2.31797|0.25307|0.2068|0.09722|0.08796|0.0764|9.92256|25.68454
Plieniennaia Vsieliennaia - Garri Garrison.txt:11.03085|5.03738|2.21984|0.22744|0.20201|0.12326|0.08829|0.08235|9.37441|22.56453
Pliushievyi mishka - Garri Garrison.txt:12.14545|5.45389|2.37653|0.28263|0.17725|0.07994|0.10988|0.07545|8.98674|23.40968
Podvin_ties_! Podvin_ties_! - Garri Garrison.txt:9.54633|5.11545|2.24719|0.2488|0.2021|0.11242|0.08319|0.07832|9.84807|24.14007
Portriet khudozhnika - Garri Garrison.txt:13.59174|5.38441|2.34729|0.29868|0.16774|0.07695|0.11407|0.07155|8.9271|23.07346
Poslie shtorma - Garri Garrison.txt:8.22632|5.24462|2.3095|0.25656|0.19215|0.12732|0.08381|0.07315|9.11255|23.96137
Posliedniaia vstriecha - Garri Garrison.txt:10.9164|5.77055|2.56797|0.26918|0.17801|0.09016|0.10952|0.0695|9.28913|24.10295
Posliednieie srazhieniie - Garri Garrison.txt:14.85714|5.00962|2.24378|0.22917|0.17788|0.13942|0.08814|0.10256|7.63621|18.60768
Pri vodopadie - Garri Garrison.txt:8.52874|4.95732|2.14332|0.24349|0.19587|0.09659|0.09569|0.0903|8.57077|22.3599
Priestuplieniie - Garri Garrison.txt:10.6|5.31431|2.31584|0.27538|0.19417|0.10533|0.08861|0.07237|8.92087|22.85346
Prishiel_tsy i K - Garri Garrison.txt:8.06811|4.98158|2.21765|0.2241|0.17498|0.1439|0.08173|0.066|8.62907|22.36398
Pronikshii v skaly - Garri Garrison.txt:12.22807|5.46973|2.3706|0.28723|0.18278|0.06313|0.12826|0.06628|9.05475|23.2298
Propavshii lainier - Garri Garrison.txt:8.33865|5.32655|2.33157|0.2704|0.19454|0.10403|0.08307|0.06878|10.09374|24.60847
Punkt vtorzhieniia_ Ziemlia - Garri Garrison.txt:8.57963|5.41312|2.3698|0.25892|0.19337|0.11308|0.09419|0.06728|9.73285|24.21063
Rabota na soviest_ - Garri Garrison.txt:9.31636|5.57104|2.4221|0.30484|0.17721|0.08197|0.10148|0.06674|8.96762|22.66123
Radushnaia vstriecha - Garri Garrison.txt:8.49398|5.58723|2.41557|0.30142|0.19574|0.07801|0.08936|0.07376|8.49451|21.43047
Rassliedovaniie - Garri Garrison.txt:10.87339|5.57022|2.42913|0.27388|0.18762|0.09007|0.10492|0.06904|9.43094|24.50677
Robot, kotoryi khotiel vsie znat_ - Garri Garrison.txt:11.92896|5.29821|2.33317|0.2689|0.15941|0.08658|0.10902|0.07879|8.58896|22.47572
Ruka zakona - Garri Garrison.txt:10.23608|5.14776|2.26004|0.25877|0.1877|0.11194|0.08457|0.08119|9.02749|23.87938
Samyi zamiechatiel_nyi avtomobil_ v mirie - Garri Garrison.txt:12.83793|5.61322|2.47008|0.26189|0.17002|0.09562|0.12006|0.07145|9.18349|23.60759
Skorost_ ghieparda, ryk l_va - Garri Garrison.txt:10.81522|5.41709|2.30962|0.3196|0.18392|0.07236|0.07839|0.07538|8.42927|20.2648
Sluchai v podziemkie - Garri Maksviell Garrison.txt:10.56522|5.24383|2.2756|0.26852|0.19907|0.11008|0.0787|0.06173|8.60591|21.88601
Sluzhba _Vampir_ - Garri Garrison.txt:11.51587|5.32231|2.32608|0.26074|0.1847|0.09511|0.09832|0.07443|9.12366|23.57828
Smiertnyie muki prishiel_tsa - Garri Garrison.txt:12.15862|5.1921|2.26348|0.24371|0.19588|0.11439|0.08622|0.08489|8.98408|23.56462
Sosiedi - Garri Garrison.txt:9.85695|5.17603|2.25807|0.25181|0.20183|0.10185|0.08882|0.07834|9.3338|24.56212
Spasatiel_naia opieratsiia - Garri Garrison.txt:10.93238|5.43805|2.37525|0.29316|0.19269|0.07798|0.1074|0.07723|9.15751|23.57199
Spietsialist po kontaktam - Garri Garrison.txt:10.90541|5.42038|2.35974|0.23885|0.19455|0.10812|0.0948|0.08086|8.96505|23.01352
Stal_naia Krysa idiet v armiiu - Garri Garrison.txt:7.96326|5.22461|2.28348|0.25114|0.20501|0.11854|0.08307|0.0723|10.19889|26.03353
Stal_naia Krysa na maniezhie - Garri Garrison.txt:7.56372|5.33622|2.3546|0.25581|0.19577|0.10971|0.09122|0.07291|10.33439|26.22872
Stal_naia krysa otpravliaietsia v ad [= Stalysa v ghostiakh u d_iavola] - Garri Garrison.txt:7.8499|5.23604|2.30417|0.23667|0.19599|0.11808|0.08743|0.07855|10.15211|25.31088
Stal_naia krysa poiot bliuz - Garri Garrison.txt:7.79873|5.34581|2.33475|0.25014|0.19028|0.11015|0.0949|0.07627|10.40329|26.78917
Stal_nuiu Krysu -- v priezidienty - Garri Garrison.txt:8.744|5.45258|2.40943|0.29083|0.18074|0.09591|0.09578|0.06283|10.34984|26.74185
Stiertyie miry - Garri Garrison.txt:9.81754|5.17615|2.2966|0.2462|0.20763|0.11042|0.08609|0.08153|9.85113|21.60158
Taina Stounkhiedzha - Garri Garrison.txt:10.55|5.79068|2.52666|0.27488|0.17852|0.07662|0.11611|0.06714|8.55528|21.1099
Tol_ko nie ia, nie Eimos Keibot! - Garri Garrison.txt:13.61504|5.40039|2.37963|0.26487|0.16477|0.1001|0.11017|0.07117|8.87005|22.98866
Trienirovochnyi poliet - Garri Maksviell Garrison.txt:10.20299|5.30785|2.31642|0.27853|0.19497|0.09319|0.08691|0.07665|9.17566|24.23306
Trudnaia rabota - Garri Garrison.txt:10.54694|5.22665|2.29971|0.23414|0.18638|0.1194|0.0845|0.06924|9.25782|24.4144
Ty nuzhien stal_noi krysie! - Garri Garrison.txt:8.1331|5.22095|2.2892|0.22913|0.20039|0.13768|0.08472|0.0692|9.74522|23.99488
U vodopada - Garri Garrison.txt:9.45455|5.10154|2.23237|0.25385|0.19346|0.10038|0.09462|0.06808|8.58786|22.36956
Utsielievshaia planieta - Garri Garrison.txt:9.05794|5.20493|2.25948|0.24615|0.20469|0.09595|0.08102|0.07415|9.02022|23.97565
Uvidiet_ zviozdy v Kosmosie - Garri Garrison.txt:11.63226|5.49334|2.39349|0.29867|0.17582|0.08181|0.10122|0.07293|8.92637|23.37114
V loghovie L_va - Garri Garrison.txt:10.63193|5.60288|2.43735|0.30102|0.16703|0.07331|0.10832|0.07085|10.52374|26.57205
Vietvistoie drievo evoliutsii - Garri Garrison.txt:9.55077|5.60148|2.48992|0.2893|0.17912|0.07506|0.11501|0.07023|9.10377|23.28708
Voina s robotami - Garri Garrison.txt:10.79764|5.71951|2.5013|0.2958|0.1871|0.06809|0.11073|0.077|9.54997|25.28198
Vozmiezdiie korolievy Viktorii - Garri Garrison.txt:10.92745|5.52914|2.42461|0.28556|0.16764|0.08066|0.10835|0.07199|10.43526|26.69924
Vozvrashchieniie k zviezdam - Garri Garrison.txt:8.97616|5.35881|2.34784|0.25622|0.19509|0.10679|0.09653|0.07362|9.96465|25.45315
Vragh u porogha - Garri Garrison.txt:10.0988|5.47267|2.39398|0.28724|0.16771|0.0803|0.10534|0.0727|10.43832|25.77183
Vriemia dlia miatiezhnika - Garri Garrison.txt:8.33691|5.14742|2.25162|0.2596|0.19093|0.11096|0.08314|0.07865|9.962|25.07863
Vstriechaiushchaia dielieghatsiia - Garri Garrison.txt:9.30539|5.56692|2.43829|0.2825|0.18662|0.09331|0.11068|0.06178|8.40615|20.83932
Vy liudi nasiliia - Garri Garrison.txt:12.23175|5.34415|2.33243|0.24189|0.20218|0.10797|0.08643|0.0802|8.94991|23.01066
Zaria bieskoniechnoi nochi - Garri Garrison.txt:8.12144|5.38738|2.43268|0.26495|0.21238|0.10724|0.08341|0.0771|8.95069|23.877
Zhiertvoprinoshieniie - Garri Garrison.txt:8.34417|5.22365|2.28395|0.25779|0.20921|0.12626|0.08181|0.06783|8.97615|23.38188
Zhizn_ khudozhnika - Garri Garrison.txt:9.95359|5.5053|2.41644|0.29377|0.18292|0.09453|0.09623|0.05977|9.08521|23.55614
Znachieniie nabliudatiel_nosti - Garri Garrison.txt:12.92308|5.15791|2.26589|0.23617|0.18225|0.10032|0.09139|0.09156|9.20091|23.93887
Znamienityie piervyie slova - Garri Garrison.txt:15.41379|5.7047|2.51269|0.27025|0.15123|0.09128|0.13244|0.07204|9.02117|22.63929
Zolotyie ghody Stal_noi Krysy - Garri Garrison.txt:9.81925|5.35474|2.32866|0.2567|0.18968|0.09604|0.10384|0.08023|9.50775|24.81081
Zviezdnyie pokhozhdieniia ghalaktichieskikh rieindzhierov - Garri Garrison.txt:10.01917|5.58544|2.42971|0.3034|0.17321|0.07139|0.10954|0.07098|10.38496|26.53433
Chieloviek s ukhmylkoi na litsie - Orson Skott Kard.txt:11.31071|4.86286|2.10876|0.24418|0.20545|0.11104|0.05357|0.09673|8.95983|24.02052
Dieti Razuma - Orson Skott Kard.txt:11.05135|5.11087|2.26199|0.22347|0.19737|0.13153|0.07445|0.08573|9.54429|21.89173
Golos tiekh, kogho niet - Orson Skott Kard.txt:9.67205|5.11216|2.24496|0.24969|0.19391|0.12244|0.07011|0.08551|9.69404|22.55654
Govoriashchii ot imieni miertvykh (Golos tiekh, kogho niet) - Orson Skott Kard.txt:9.68184|5.25486|2.32813|0.25349|0.19388|0.12958|0.08456|0.07548|9.70908|22.43495
Ighra Endiera - Orson Skott Kard.txt:8.77156|5.12123|2.23808|0.24249|0.20412|0.11887|0.07563|0.08267|9.69153|23.32294
Iskuplieniie Khristofora Kolumba - Orson Skott Kard.txt:12.38727|5.22251|2.32784|0.2406|0.1821|0.11406|0.07756|0.09023|9.76323|22.5642
Kapitolii - Orson Skott Kard.txt:9.47109|5.1562|2.26292|0.23561|0.20122|0.12706|0.0745|0.07428|9.73982|24.44304
Khroniki Vortingha - Orson Skott Kard.txt:10.8557|5.01967|2.20317|0.25017|0.20207|0.11597|0.06901|0.07911|9.8154|23.79
Krasnokozhii prorok - Orson Skott Kard.txt:11.1873|5.23127|2.27648|0.25832|0.20052|0.09734|0.08012|0.08053|9.92595|24.09152
Ksienotsid - Orson Skott Kard.txt:9.92644|5.19509|2.29872|0.22806|0.18412|0.11944|0.08542|0.08574|9.61935|21.5357
Liudi na kraiu pustyni - Orson Skott Kard.txt:11.44349|4.97896|2.19531|0.22932|0.19352|0.12587|0.06955|0.08344|9.62758|21.74001
Na chuzhbinie - Orson Skott Kard _ Dzhiei Parri.txt:12.6506|5.71029|2.47959|0.30267|0.15486|0.06267|0.11352|0.0739|9.58515|24.46961
Oko za Oko (Eye for Eye) - Orson Skott Kard.txt:13.90265|4.59415|2.02588|0.15728|0.1986|0.16179|0.05586|0.10811|8.79509|22.05141
Podmastier_ie Elvin - Orson Skott Kard.txt:12.66335|5.09429|2.22833|0.24924|0.20095|0.10744|0.07156|0.08362|9.82563|23.05224
Sied_moi syn - Orson Skott Kard.txt:11.25645|5.22596|2.27915|0.26174|0.20371|0.09695|0.07887|0.07971|10.02082|25.09519
Skazaniia Liesa Vod - Orson Skott Kard.txt:11.7002|5.12229|2.25095|0.28865|0.19922|0.0801|0.07959|0.07862|9.57794|24.88679
Smiertnyie boghi - Orson Skott Kard.txt:10.52124|5.2767|2.32307|0.23266|0.16807|0.1189|0.09615|0.07083|8.63535|22.41433
Sonata biez soprovozhdieniia - Orson Skott Kard.txt:11.21802|5.19916|2.27964|0.25104|0.19435|0.10745|0.07581|0.08673|8.83073|23.2133
Sovietnik po inviestitsiiam - Orson Skott Kard.txt:13.88513|5.61831|2.44486|0.24811|0.18305|0.09144|0.10215|0.07916|9.39925|24.45512
Tieatr Tieniei - Orson Skott Kard.txt:10.39454|5.00663|2.20634|0.2343|0.19625|0.12435|0.07318|0.09273|9.53417|22.95807
Tien_ Endiera - Orson Skott Kard.txt:10.52906|5.06128|2.23525|0.23366|0.18382|0.11525|0.07976|0.08545|9.69347|22.29807
Tien_ Gieghiemona - Orson Skott Kard.txt:10.66659|5.05272|2.22594|0.24042|0.19556|0.11804|0.07614|0.09383|9.55074|22.54151
Tysiacha smiertiei - Orson Skott Kard.txt:9.85421|5.24602|2.29861|0.25285|0.19632|0.11684|0.07132|0.07739|9.0301|23.69361
Gniev Tiamat - Dzhieims S. A. Kori.txt:9.01599|5.39597|2.38524|0.27068|0.18536|0.09152|0.09734|0.08245|10.31153|25.48992
Ighry Niemiezidy - Dzhieims S.A. Kori.txt:9.20117|5.17621|2.28495|0.24855|0.19563|0.11319|0.08932|0.08112|9.92901|23.04176
Piepiel Vavilona (LP) - Dzhieims S. A. Kori.txt:8.73864|5.30095|2.32868|0.27194|0.18544|0.09468|0.09178|0.08327|10.19001|24.86697
Pozhar Siboly - Dzhieims S. A. Kori.txt:8.07218|5.31228|2.32482|0.27058|0.20858|0.09473|0.08781|0.07322|10.30673|25.59063
Probuzhdieniie Lieviafana - Dzhieims Kori.txt:8.23213|5.36083|2.32965|0.27684|0.2036|0.09652|0.09463|0.07134|10.27828|25.1229
Voina Kalibana - Dzhieims Kori.txt:8.83566|5.37794|2.35517|0.27533|0.19967|0.09312|0.09315|0.07333|10.36167|25.78992
Vosstaniie Piersiepolisa - Dzhieims S. A. Kori.txt:9.57933|5.40309|2.38754|0.26743|0.18539|0.09885|0.09709|0.08044|10.09799|23.88679
Vrata Abaddona - Dzhieims Kori.txt:8.36462|5.31533|2.3308|0.27683|0.20293|0.09535|0.08833|0.07126|10.30177|25.67326
Adskii oghon_ - Aiziek Azimov.txt:9.14286|5.8192|2.51852|0.30357|0.15179|0.08259|0.15179|0.05134|7.81035|18.05342
Akadiemiia - Aiziek Azimov.txt:8.88463|5.42689|2.38854|0.26121|0.17611|0.10501|0.09338|0.076|10.04061|25.26767
Akadiemiia i Impieriia - Aiziek Azimov.txt:9.37881|5.40211|2.37566|0.25611|0.17731|0.10807|0.10255|0.07032|10.11937|25.13146
Akadiemiia i Ziemlia - Aiziek Azimov.txt:10.10095|5.31642|2.31783|0.23281|0.18722|0.11402|0.08762|0.08378|9.77665|22.64633
Akadiemiia na kraiu ghibieli - Aiziek Azimov.txt:10.77796|5.3292|2.3425|0.23293|0.18326|0.1153|0.0897|0.07791|9.79048|22.48802
Alieksandr Bogh - Aiziek Azimov.txt:10.73292|5.84606|2.55804|0.29282|0.17188|0.08102|0.10822|0.0625|8.41536|21.187
Batton, Batton - Aiziek Azimov.txt:7.79175|5.10187|2.23476|0.24281|0.19415|0.13868|0.07943|0.07337|8.64907|22.32657
Biessmiertnyi bard - Aiziek Azimov.txt:6.80531|5.21586|2.28916|0.24187|0.19376|0.15085|0.08453|0.06372|7.62512|19.17337
Bil_iardnyi shar - Aiziek Azimov.txt:13.14648|5.43827|2.36726|0.24959|0.17665|0.10964|0.0988|0.07785|8.9558|22.9224
Blaghoie namierieniie - Aiziek Azimov.txt:9.53276|5.62746|2.4864|0.27165|0.17855|0.09725|0.1062|0.06198|9.46434|24.56907
Bratishka - Aiziek Azimov.txt:8.33518|4.77268|2.10305|0.19309|0.21569|0.14523|0.0565|0.0894|8.29649|21.96057
Bukva zakona - Aiziek Azimov.txt:18.37037|5.72177|2.54721|0.35282|0.14919|0.04435|0.08669|0.07056|7.43168|17.22796
Cchastlivchik Starr (Lucky Starr) - Aiziek Azimov.txt:8.69343|5.34478|2.32271|0.26264|0.18974|0.10015|0.08373|0.07473|10.27363|24.71055
Chto eto za shtuka - liubov__ - Aiziek Azimov.txt:7.16709|5.49382|2.41379|0.25963|0.1971|0.11339|0.0929|0.05934|8.77373|22.67047
Chto v imieni - Aiziek Azimov.txt:7.77778|5.1808|2.29349|0.22656|0.20201|0.14464|0.07701|0.07232|8.57887|22.24047
Chto, iesli_. - Aiziek Azimov.txt:8.25882|4.77896|2.11361|0.20109|0.19801|0.13272|0.05271|0.08096|8.42468|22.032
Chtoby my nie pomnili - Aiziek Azimov.txt:9.33047|5.31014|2.30245|0.22079|0.21159|0.13903|0.07199|0.07256|9.08097|23.5858
Chuvstvo sily - Aiziek Azimov.txt:9.06757|5.55961|2.41299|0.25373|0.19449|0.10283|0.1006|0.08048|8.6087|22.25992
Devid Starr - kosmichieskii rieindzhier (pier. A.Lievkin) - Aiziek Azimov.txt:8.6155|5.21096|2.27102|0.25412|0.19661|0.10893|0.07757|0.07956|9.71886|25.46947
Diedovskii sposob - Aiziek Azimov.txt:9.34286|5.23394|2.25874|0.22936|0.20451|0.11009|0.09098|0.07913|8.42142|21.73993
Dien_ okhotnikov - Aiziek Azimov.txt:8.73611|4.75755|2.11463|0.19436|0.20072|0.14984|0.06479|0.08784|8.08098|21.50335
Dumaitie! [Dumai!] - Aiziek Azimov.txt:10.31852|5.59548|2.45914|0.24372|0.18378|0.11594|0.0944|0.07286|8.76108|22.70246
Dvizhushchaia sila - Aiziek Azimov.txt:10.36932|5.76548|2.57967|0.27836|0.17041|0.09808|0.09863|0.06904|8.60436|21.53394
Dvukhsotlietnii chieloviek - Aiziek Azimov.txt:9.86027|5.35906|2.35271|0.25192|0.1838|0.11362|0.09211|0.08118|9.21017|24.06484
Evieriest - Aiziek Azimov.txt:8.19328|5.16|2.26923|0.23487|0.20821|0.11487|0.08103|0.08205|7.8803|19.5096
Fantastichieskoie putieshiestviie - Aiziek Azimov.txt:8.9951|5.41997|2.37262|0.24572|0.19243|0.11598|0.09438|0.07365|9.66255|23.10634
Garantirovannoie udovol_stviie [Budietie dovol_ny] - Aiziek Azimov.txt:9.69762|5.10582|2.26157|0.24626|0.19298|0.12153|0.0766|0.07218|8.68705|22.88455
Glazam dano nie tol_ko vidiet_ - Aiziek Azimov.txt:9.93233|5.23921|2.30902|0.24905|0.19304|0.11734|0.08554|0.07419|8.22593|20.86288
Glubina - Aiziek Azimov.txt:7.86043|5.5594|2.46679|0.27293|0.18817|0.09921|0.0994|0.06809|9.06725|23.64629
Godovshchina - Aiziek Azimov.txt:7.2074|5.26322|2.26869|0.2447|0.20054|0.11309|0.0841|0.07763|8.77306|22.80221
Govoriashchii kamien_ - Aiziek Azimov.txt:7.61034|5.53111|2.43326|0.27344|0.17655|0.10057|0.09653|0.06588|8.97721|23.70991
Ia - robot - Aiziek Azimov.txt:8.2986|5.29564|2.32735|0.23406|0.19347|0.12301|0.09187|0.07078|9.71357|23.95932
Ia v marsoportie biez Khil_dy - Aiziek Azimov.txt:8.63362|4.99725|2.21419|0.21767|0.18797|0.14853|0.08163|0.08038|8.59941|22.45062
Istinnaia liubov_ [Nastoiashchaia liubov_] - Aiziek Azimov.txt:9.38255|4.96853|2.18741|0.20243|0.18169|0.1731|0.07225|0.07582|7.67012|20.16359
Kak im bylo viesielo - Aiziek Azimov.txt:9.70968|4.91473|2.16895|0.24031|0.19269|0.1041|0.07973|0.09302|7.46451|19.07349
Kak poimat_ krolika - Aiziek Azimov.txt:7.18826|5.22143|2.27696|0.22993|0.20034|0.11973|0.08248|0.0665|9.0127|23.58958
Kak potierialsia robot - Aiziek Azimov.txt:9.06186|5.38604|2.35018|0.21856|0.19391|0.1307|0.09367|0.07066|8.94|22.64118
Kak ryby v vodie - Aiziek Azimov.txt:9.23549|5.37546|2.39544|0.26053|0.18921|0.09682|0.09165|0.07945|8.6411|22.38938
Kak zhal_! - Aiziek Azimov.txt:10.08197|5.56992|2.40237|0.27033|0.19187|0.10528|0.09634|0.08171|8.51621|21.77
Kakoie dielo pchielie_ - Aiziek Azimov.txt:10.0479|5.382|2.34766|0.24672|0.18713|0.09297|0.09774|0.07509|8.41977|21.46914
Kazhdyi - issliedovatiel_ - Aiziek Azimov.txt:9.11806|5.43412|2.39947|0.25387|0.17746|0.11196|0.10231|0.06753|8.86321|23.38441
Kel - Aiziek Azimov.txt:8.17103|5.16871|2.26166|0.20691|0.21434|0.15532|0.07709|0.07137|8.93408|22.88236
Khellouin - Aiziek Azimov.txt:7.94495|5.16166|2.21241|0.23095|0.21132|0.13279|0.05658|0.08314|7.7299|19.7679
Khomo sol - Aiziek Azimov.txt:9.9409|5.66442|2.49886|0.26909|0.1785|0.10013|0.10576|0.06915|9.55794|24.77488
Khorovod - Aiziek Azimov.txt:8.55408|5.40012|2.36216|0.24684|0.19004|0.09784|0.10834|0.07178|9.0432|23.65504
Khoziaika - Aiziek Azimov.txt:9.44644|5.47202|2.42384|0.25865|0.18457|0.11|0.09113|0.06597|9.39339|24.41765
Kisieinyie ghrify - Aiziek Azimov.txt:9.82158|5.57626|2.43622|0.24926|0.17955|0.10287|0.12801|0.06401|8.90985|22.91882
Kliuch - Aiziek Azimov.txt:8.29042|5.43753|2.35151|0.26028|0.18449|0.10766|0.09563|0.07648|9.15976|23.85384
Koghda-nibud_ - Aiziek Azimov.txt:9.51429|5.08175|2.19781|0.22122|0.20153|0.11211|0.08342|0.09776|8.42521|22.16855
Koniets viechnosti - Aiziek Azimov.txt:10.17061|5.42093|2.38738|0.253|0.17755|0.10987|0.09538|0.06685|9.77213|23.56746
Kosmichieskiie tiechieniia - Aiziek Azimov.txt:7.91984|5.2995|2.30304|0.24471|0.193|0.12345|0.09532|0.0703|9.56635|24.43297
Kotoryi chas - Aiziek Azimov.txt:8.34188|4.97848|2.1875|0.24898|0.21209|0.11475|0.03791|0.08607|7.82122|19.70316
Krai Osnovaniia [Akadiemiia na kraiu ghibieli] - Aiziek Azimov.txt:10.17625|5.29914|2.33898|0.23064|0.19019|0.12211|0.09021|0.08517|9.58445|22.07921
Lakki Starr i bol_shoie solntsie Mierkuriia - Aiziek Azimov.txt:8.70972|5.41202|2.33506|0.24255|0.18856|0.09426|0.09074|0.0762|9.83222|25.49684
Lakki Starr i kol_tsa Saturna - Aiziek Azimov.txt:10.65791|5.42844|2.37853|0.27027|0.18017|0.10549|0.0871|0.0757|9.62409|24.35596
Lakki Starr i luny Iupitiera - Aiziek Azimov.txt:8.21143|5.39601|2.34199|0.26121|0.18743|0.09831|0.08436|0.07123|9.80536|25.63278
Lakki Starr i okieany Vieniery - Aiziek Azimov.txt:8.1009|5.41565|2.35009|0.26993|0.19748|0.10704|0.0877|0.06778|9.60381|24.69926
Lakki Starr i piraty s astieroidov (pier. A.Anpilov) - Aiziek Azimov.txt:7.40713|5.37934|2.31898|0.29226|0.19347|0.08816|0.08971|0.0646|10.08129|26.83022
Lenni - Aiziek Azimov.txt:10.66667|5.61857|2.47483|0.27815|0.18329|0.10239|0.09774|0.06671|8.99223|22.97474
Loghika - Aiziek Azimov.txt:8.12012|5.38314|2.37105|0.24482|0.19249|0.11668|0.09634|0.06675|9.04258|24.13955
Lovushka dlia prostakov - Aiziek Azimov.txt:9.32708|5.39007|2.35963|0.25377|0.18324|0.10545|0.09655|0.07361|9.56275|24.43475
Luchshii drugh mal_chika - Aiziek Azimov.txt:9.89247|5.14348|2.1743|0.26739|0.17826|0.10326|0.07935|0.08913|7.67805|20.18206
Lzhiets - Aiziek Azimov.txt:7.56215|5.02578|2.20982|0.21629|0.20844|0.15428|0.07378|0.06799|8.70708|22.60831
Mashina - pobieditiel_ - Aiziek Azimov.txt:8.55714|5.56928|2.40278|0.25125|0.1803|0.10935|0.10518|0.0576|8.22558|20.92716
Miechty - lichnoie dielo kazhdogho - Aiziek Azimov.txt:8.59128|5.20459|2.26971|0.23994|0.18278|0.13031|0.08669|0.07973|8.87289|23.39106
Miechty robotov - Aiziek Azimov.txt:11.83422|5.47831|2.40933|0.23339|0.19182|0.10935|0.08586|0.08495|8.74997|22.44712
Miesto, ghdie mnogho vody - Aiziek Azimov.txt:9.74214|5.05746|2.28073|0.20788|0.1827|0.13428|0.07553|0.09103|8.14321|20.80133
Miortvoie proshloie - Aiziek Azimov.txt:10.13355|5.49347|2.40953|0.23085|0.19591|0.11293|0.08998|0.08021|9.46728|24.47051
Mnimyie vielichiny - Aiziek Azimov.txt:10.75944|5.6905|2.50732|0.28123|0.18459|0.085|0.10606|0.07225|9.45085|24.58153
Moi syn - fizik - Aiziek Azimov.txt:7.40426|5.17241|2.24729|0.2251|0.18678|0.12739|0.07567|0.06992|8.1222|20.66404
Molodost_ - Aiziek Azimov.txt:6.96628|4.91896|2.13578|0.18545|0.2073|0.15115|0.08228|0.08284|8.76287|23.17721
Mukhi - Aiziek Azimov.txt:8.46853|5.20974|2.29107|0.24855|0.19571|0.11354|0.07349|0.08216|8.55097|22.10068
Na puti k Akadiemii - Aiziek Azimov.txt:9.82871|5.19634|2.27987|0.22499|0.18739|0.12302|0.08009|0.08432|9.72232|22.39328
Na puti k Osnovaniiu [Na puti k Akadiemii] - Aiziek Azimov.txt:9.67003|5.19703|2.27967|0.22633|0.18711|0.12285|0.07992|0.084|9.71807|22.34386
Nashli! - Aiziek Azimov.txt:10.72098|5.35311|2.33873|0.19696|0.18822|0.12242|0.08807|0.07974|8.86482|23.22776
Niekrologh - Aiziek Azimov.txt:9.17308|5.02009|2.22528|0.19794|0.19375|0.14623|0.07565|0.08054|8.72993|23.21455
Niemiezida (pier. Iu.Sokolov) - Aiziek Azimov.txt:9.11455|5.25605|2.3217|0.21859|0.19442|0.12459|0.07979|0.08526|9.6103|22.44253
Nieobkhodimoie usloviie - Aiziek Azimov.txt:7.69792|5.15562|2.26891|0.23004|0.22057|0.14073|0.06225|0.07713|7.50994|18.85032
Nieozhidannaia pobieda - Aiziek Azimov.txt:10.88021|5.68358|2.50471|0.23568|0.18398|0.09574|0.11856|0.06973|9.2086|23.98286
Noch_, kotoraia umiraiet - Aiziek Azimov.txt:10.54496|5.47529|2.38302|0.24792|0.19347|0.1123|0.08682|0.06504|9.28935|24.05989
Novaia ighrushka - Aiziek Azimov.txt:9.68|5.35124|2.34064|0.33678|0.16529|0.05165|0.09917|0.07231|8.19214|20.42837
Obnazhiennoie solntsie (pier. N.Vilienskaia) - Aiziek Azimov.txt:8.78907|5.25244|2.30562|0.24535|0.19741|0.11079|0.08011|0.07939|9.64683|23.9181
